Season,No.overall,No. inseason,Title,Directed by,Written by,Original air date,US viewers(millions)
1,1,1,"""Pilot""",Lesli Linka Glatter,Amy Sherman-Palladino,"October 5, 2000",5.03
1,2,2,"""The Lorelais' First Day at Chilton""",Arlene Sanford,Amy Sherman-Palladino,"October 12, 2000",3.4
1,3,3,"""Kill Me Now""",Adam Nimoy,Joanne Waters,"October 19, 2000",2.89
1,4,4,"""The Deer Hunters""",Alan Myerson,Jed Seidel,"October 26, 2000",3.93
1,5,5,"""Cinnamon's Wake""",Michael Katleman,Daniel Palladino,"November 2, 2000",3.88
1,6,6,"""Rory's Birthday Parties""",Sarah Pia Anderson,Amy Sherman-Palladino,"November 9, 2000",3.73
1,7,7,"""Kiss and Tell""",Rodman Flender,Jenji Kohan,"November 16, 2000",3.45
1,8,8,"""Love and War and Snow""",Alan Myerson,Joan Binder Weiss,"December 14, 2000",3.8
1,9,9,"""Rory's Dance""",Lesli Linka Glatter,Amy Sherman-Palladino,"December 20, 2000",3.62
1,10,10,"""Forgiveness and Stuff""",Bethany Rooney,John Stephens,"December 21, 2000",3.6
1,11,11,"""Paris Is Burning""",David Petrarca,Joan Binder Weiss,"January 11, 2001",4.32
1,12,12,"""Double Date""",Lev L. Spiro,Amy Sherman-Palladino,"January 18, 2001",4.83
1,13,13,"""Concert Interruptus""",Bruce Seth Green,Elaine Arata,"February 15, 2001",3.16
1,14,14,"""That Damn Donna Reed""",Michael Katleman,Daniel Palladino and Amy Sherman-Palladino,"February 22, 2001",3.51
1,15,15,"""Christopher Returns""",Michael Katleman,Daniel Palladino,"March 1, 2001",3.67
1,16,16,"""Star-Crossed Lovers and Other Strangers""",Lesli Linka Glatter,"Joan Binder Weiss, John Stephens, and Linda Loiselle Guzik","March 8, 2001",3.38
1,17,17,"""The Breakup, Part 2""",Nick Marck,Amy Sherman-Palladino,"March 15, 2001",4.17
1,18,18,"""The Third Lorelai""",Michael Katleman,Amy Sherman-Palladino,"March 22, 2001",4.57
1,19,19,"""Emily in Wonderland""",Perry Lang,John Stephens and Linda Loiselle Guzik,"April 26, 2001",3.37
1,20,20,"""P.S. I Lo...""",Lev L. Spiro,Elaine Arata and Joan Binder Weiss,"May 3, 2001",3.16
1,21,21,"""Love, Daisies and Troubadours""",Amy Sherman-Palladino,Daniel Palladino,"May 10, 2001",4.31
2,22,1,"""Sadie, Sadie""",Amy Sherman-Palladino,Amy Sherman-Palladino,"October 9, 2001",6.55
2,23,2,"""Hammers and Veils""",Michael Katleman,Amy Sherman-Palladino,"October 9, 2001",6.55
2,24,3,"""Red Light on the Wedding Night""",Gail Mancuso,Daniel Palladino,"October 16, 2001",5.99
2,25,4,"""The Road Trip to Harvard""",Jamie Babbit,Daniel Palladino,"October 23, 2001",6.39
2,26,5,"""Nick & Nora/Sid & Nancy""",Michael Katleman,Amy Sherman-Palladino,"October 30, 2001",5.55
2,27,6,"""Presenting Lorelai Gilmore""",Chris Long,Sheila R. Lawrence,"November 6, 2001",6.11
2,28,7,"""Like Mother, Like Daughter""",Dennis Erdman,Joan Binder Weiss,"November 13, 2001",5.88
2,29,8,"""The Ins and Outs of Inns""",Michael Katleman,Daniel Palladino,"November 20, 2001",5.49
2,30,9,"""Run Away, Little Boy""",Danny Leiner,John Stephens,"November 27, 2001",5.79
2,31,10,"""The Bracebridge Dinner""",Chris Long,Daniel Palladino,"December 11, 2001",5.3
2,32,11,"""Secrets and Loans""",Nicole Holofcener,Linda Loiselle Guzik,"January 22, 2002",5.59
2,33,12,"""Richard in Stars Hollow""",Steve Gomer,Frank Lombardi,"January 29, 2002",5.83
2,34,13,"""A-Tisket, A-Tasket""",Robert Berlinger,Amy Sherman-Palladino,"February 5, 2002",5.48
2,35,14,"""It Should've Been Lorelai""",Lesli Linka Glatter,Daniel Palladino,"February 12, 2002",5.34
2,36,15,"""Lost and Found""",Gail Mancuso,Amy Sherman-Palladino,"February 26, 2002",5.52
2,37,16,"""There's the Rub""",Amy Sherman-Palladino,Sheila R. Lawrence,"April 9, 2002",4.24
2,38,17,"""Dead Uncles and Vegetables""",Jamie Babbit,Daniel Palladino,"April 16, 2002",5.06
2,39,18,"""Back in the Saddle Again""",Kevin Dowling,Linda Loiselle Guzik,"April 23, 2002",4.62
2,40,19,"""Teach Me Tonight""",Steve Robman,Amy Sherman-Palladino,"April 30, 2002",5.26
2,41,20,"""Help Wanted""",Chris Long,Allan Heinberg,"May 7, 2002",5.97
2,42,21,"""Lorelai's Graduation Day""",Jamie Babbit,Daniel Palladino,"May 14, 2002",5.23
2,43,22,"""I Can't Get Started""",Amy Sherman-Palladino,Amy Sherman-Palladino and John Stephens,"May 21, 2002",6.21
3,44,1,"""Those Lazy-Hazy-Crazy Days""",Amy Sherman-Palladino,Amy Sherman-Palladino,"September 24, 2002",6.2
3,45,2,"""Haunted Leg""",Chris Long,Amy Sherman-Palladino,"October 1, 2002",6.75
3,46,3,"""Application Anxiety""",Gail Mancuso,Daniel Palladino,"October 8, 2002",5.95
3,47,4,"""One's Got Class and the Other One Dyes""",Steve Robman,Daniel Palladino,"October 15, 2002",5.79
3,48,5,"""Eight O'Clock at the Oasis""",Joe Ann Fogle,Justin Tanner,"October 22, 2002",6.58
3,49,6,"""Take the Deviled Eggs...""",Jamie Babbit,Daniel Palladino,"November 5, 2002",6.95
3,50,7,"""They Shoot Gilmores, Don't They?""",Kenny Ortega,Amy Sherman-Palladino,"November 12, 2002",6.82
3,51,8,"""Let the Games Begin""",Steve Robman,Amy Sherman-Palladino and Sheila R. Lawrence,"November 19, 2002",7.09
